confl,SELS_mx,nrSELS,pavedkm,unpavedkm,PA_dist,vieh_sum,cattle_sum,pop_sum,forest,shrub,grass,crop,set_num,set_area
"1",C1,"1.000000000000000","39.27","411.32","0.00","2317.545303344726562","58068.530273437500000","17223.024848042288795","44.68","0.00","646.55","223.41","3.000000000000000","5.99"
"1",C1,"1.000000000000000","99.58","413.09","30.41","3400.449310302734375","47608.487548828125000","7321.243525422643870","23.84","0.00","160.96","1592.21","3.000000000000000","5.82"
"1",C1,"1.000000000000000","102.25","585.01","30.01","25569.840148925781250","84667.296630859389552","21580.328155827708542","11.96","0.05","759.71","1092.49","1.000000000000000","13.75"
"1",C1,"1.000000000000000","59.81","400.93","96.51","4867.828781127929688","69835.286865234375000","6542.059905740898103","22.47","0.04","123.01","1671.04","3.000000000000000","4.17"
"1",A3,"1.000000000000000","50.41","240.90","3.41","14954.969787597656250","1289.354496002197266","11605.829770150130571","9.01","145.92","832.67","21.45","1.000000000000000","7.49"
"1",B,"2.000000000000000","33.53","122.15","0.00","6527.703735351562500","4197.206146240234375","3062.880833471659571","818.64","37.83","556.27","5.28","5.000000000000000","2.20"
"1",C1,"1.000000000000000","74.76","406.35","39.37","6309.414535522460938","68936.581054687500000","8560.834374130005017","10.95","2.75","154.63","1603.59","3.000000000000000","5.67"
"1",A4,"1.000000000000000","41.08","255.15","19.02","3386.602363586425781","8317.565093994140625","589.829908256884664","2.69","1712.38","77.32","0.75","1.000000000000000","0.93"
"1",D3,"3.000000000000000","107.78","104.10","0.00","292.019045829772949","16450.386901855468750","57547.490425359457731","1290.40","0.00","325.27","36.31","4.000000000000000","12.80"
"1",C2,"3.000000000000000","80.66","117.78","0.00","527.258891172707081","9401.514809191226959","21144.983162025688216","1309.45","0.00","160.62","112.73","4.000000000000000","6.18"
"1",C2,"2.000000000000000","198.99","157.92","0.00","372.182968139648438","11997.187561035156250","146536.319746802095324","1213.64","0.03","416.54","11.45","15.000000000000000","29.71"
"1",A3,"2.000000000000000","73.78","325.56","0.00","6457.154052734375000","5854.561813354492188","17045.372977636754513","137.46","61.03","1648.42","0.54","3.000000000000000","7.07"
"1",A2,"2.000000000000000","50.11","89.95","0.00","13089.678245544433594","1276.310014724731445","1703.644182661548257","2.25","67.76","1075.73","1.22","2.000000000000000","1.20"
"1",C1,"1.000000000000000","98.13","288.66","15.80","19716.650878906250000","21698.970275878906250","81743.829287151340395","32.03","261.18","1222.46","368.49","3.000000000000000","28.21"
"1",A2,"2.000000000000000","148.58","121.59","0.00","4207.575771331787109","957.898037195205688","141033.331347644794732","711.44","30.49","532.12","0.03","6.000000000000000","34.62"
"1",A4,"2.000000000000000","0.00","121.46","10.58","732.729156494140625","13223.200012207029431","183.672185603762046","3.27","1151.53","666.18","68.87","0.000000000000000","1.03"
"1",A4,"2.000000000000000","42.83","21.54","4.88","7063.393585205078125","1218.659938812255632","149.667776501737535","0.02","1848.58","22.74","1.56","1.000000000000000","0.31"
"1",D1,"2.000000000000000","100.09","274.72","0.00","5875.754409790039062","20255.844848632812500","48450.268456607132975","845.02","132.02","335.48","279.02","7.000000000000000","12.33"
"1",C1,"2.000000000000000","19.64","226.04","23.71","1318.548301696777116","17564.517395019531250","2964.520023640245199","507.29","667.85","194.64","265.98","1.000000000000000","2.50"
"1",A3,"1.000000000000000","0.00","94.53","114.30","10679.914184570312500","32.743713021278381","3.002564243972301","0.00","29.49","1247.20","0.00","0.000000000000000","0.00"
"1",A3,"2.000000000000000","0.00","193.60","0.00","9814.166809082031250","781.896741867065430","156.522866520099342","0.48","57.24","914.79","0.10","0.000000000000000","0.08"
"1",A3,"1.000000000000000","0.00","91.63","120.23","9787.690765380859375","30.008231520652771","21.771840039640665","0.01","56.22","1298.21","0.00","0.000000000000000","0.00"
"1",C1,"2.000000000000000","79.33","387.55","79.92","1894.933792114257812","11488.247070312500000","12875.563570504542440","569.72","593.41","54.39","425.64","2.000000000000000","7.44"
"1",C1,"1.000000000000000","87.02","443.95","17.10","2513.435081481934048","47921.081787109375000","10890.259476264473051","29.92","0.04","103.55","1640.33","7.000000000000000","5.71"
"1",C1,"1.000000000000000","102.07","447.86","136.22","2637.836685180663608","59078.303222656257276","21748.771363352192566","11.60","0.08","171.70","1588.33","2.000000000000000","10.84"
"1",A3,"2.000000000000000","40.83","142.83","5.50","26516.730285644531250","28517.828796386718750","396.700235404074192","0.10","436.92","956.87","432.75","0.000000000000000","1.00"
"1",A3,"2.000000000000000","39.52","153.06","16.86","29181.351806640625000","31383.537719726562500","3587.709496753290296","1.72","483.09","628.23","779.97","1.000000000000000","2.89"
"1",A3,"2.000000000000000","107.67","279.33","14.07","28355.982177734375000","3668.772659301757812","12782.436774265952408","16.37","1486.95","313.03","121.13","3.000000000000000","7.94"
"1",A2,"2.000000000000000","0.00","70.89","3.65","9966.033477783203125","692.127171993255502","546.885829237755388","0.00","0.24","499.22","0.01","1.000000000000000","0.18"
"1",A3,"1.000000000000000","47.77","366.44","54.49","3789.687789916992188","28009.071289062500000","195.640143038239330","48.95","1133.57","630.43","39.89","0.000000000000000","0.36"
"1",A2,"3.000000000000000","46.04","138.26","3.46","15521.514160156250000","2171.746086120605469","26832.819046185817569","4.45","436.81","967.30","38.16","1.000000000000000","11.65"
"1",A2,"1.000000000000000","49.87","56.42","13.23","15382.053039550781250","1851.772026062011719","1078.642762186937034","0.95","33.42","761.65","0.51","1.000000000000000","0.88"
"1",A3,"3.000000000000000","46.54","141.75","0.00","16966.111694335937500","2097.389533996582031","26906.633394401986152","7.36","480.51","952.68","42.89","1.000000000000000","11.30"
"1",A2,"2.000000000000000","49.80","90.47","0.00","13089.678245544433594","1276.310014724731445","1703.033615073189139","2.25","65.54","1091.72","1.20","2.000000000000000","1.20"
"1",C2,"1.000000000000000","290.03","668.12","0.00","7102.325958251953125","1233.615932464599609","494705.893723940476775","206.94","1088.42","228.82","53.50","11.000000000000000","157.36"
"1",A3,"2.000000000000000","0.00","54.87","4.76","6047.496520996093750","1203.648193359375000","185.919599293731181","0.04","1256.96","414.52","0.35","0.000000000000000","0.05"
"1",A4,"1.000000000000000","17.41","168.00","1.28","2682.899139404296875","1663.052528381347656","33.308888632804155","0.02","1934.14","13.18","0.05","0.000000000000000","0.39"
"1",C2,"3.000000000000000","89.93","332.00","63.86","2284.860511779785156","9903.810302734375000","33300.316339454147965","142.90","1129.30","311.16","263.47","4.000000000000000","15.61"
"1",A3,"2.000000000000000","0.00","46.05","0.00","9796.321838378906250","677.220952987670898","5.391963648609818","0.15","3.23","1188.64","0.05","0.000000000000000","0.01"
"1",C1,"1.000000000000000","249.15","265.60","0.00","1081.095603942871094","54804.073486328125000","680435.041612744331360","258.65","0.02","482.34","349.98","8.000000000000000","133.42"
